emoji,name,slug,group
5️⃣,keycap 5,keycap_5,
6️⃣,keycap 6,keycap_6,
7️⃣,keycap 7,keycap_7,
8️⃣,keycap 8,keycap_8,
9️⃣,keycap 9,keycap_9,
🔟,keycap 10,keycap_10,
🔠,input latin uppercase,input_latin_uppercase,
🔡,input latin lowercase,input_latin_lowercase,
🔢,input numbers,input_numbers,
🔣,input symbols,input_symbols,
🔤,input latin letters,input_latin_letters,
🅰️,A button (blood type),a_button,
🆎,AB button (blood type),ab_button,
🅱️,B button (blood type),b_button,
🆑,CL button,cl_button,
🆒,COOL button,cool_button,
🆓,FREE button,free_button,
ℹ️,information,information,
🆔,ID button,id_button,
Ⓜ️,circled M,circled_m,
🆕,NEW button,new_button,
🆖,NG button,ng_button,
🅾️,O button (blood type),o_button,
🆗,OK button,ok_button,
🅿️,P button,p_button,
🆘,SOS button,sos_button,
🆙,UP! button,up_button,
🆚,VS button,vs_button,
🈁,Japanese “here” button,japanese_here_button,
🈂️,Japanese “service charge” button,japanese_service_charge_button,
🈷️,Japanese “monthly amount” button,japanese_monthly_amount_button,
🈶,Japanese “not free of charge” button,japanese_not_free_of_charge_button,
🈯,Japanese “reserved” button,japanese_reserved_button,
🉐,Japanese “bargain” button,japanese_bargain_button,
🈹,Japanese “discount” button,japanese_discount_button,
🈚,Japanese “free of charge” button,japanese_free_of_charge_button,
🈲,Japanese “prohibited” button,japanese_prohibited_button,
🉑,Japanese “acceptable” button,japanese_acceptable_button,
🈸,Japanese “application” button,japanese_application_button,
🈴,Japanese “passing grade” button,japanese_passing_grade_button,
🈳,Japanese “vacancy” button,japanese_vacancy_button,
㊗️,Japanese “congratulations” button,japanese_congratulations_button,
㊙️,Japanese “secret” button,japanese_secret_button,
🈺,Japanese “open for business” button,japanese_open_for_business_button,
🈵,Japanese “no vacancy” button,japanese_no_vacancy_button,
🔴,red circle,red_circle,
🟠,orange circle,orange_circle,
🟡,yellow circle,yellow_circle,
🟢,green circle,green_circle,
🔵,blue circle,blue_circle,
🟣,purple circle,purple_circle,
🟤,brown circle,brown_circle,
⚫,black circle,black_circle,
⚪,white circle,white_circle,
🟥,red square,red_square,
🟧,orange square,orange_square,
🟨,yellow square,yellow_square,
🟩,green square,green_square,
🟦,blue square,blue_square,
🟪,purple square,purple_square,
🟫,brown square,brown_square,
⬛,black large square,black_large_square,
⬜,white large square,white_large_square,
◼️,black medium square,black_medium_square,
◻️,white medium square,white_medium_square,
◾,black medium-small square,black_medium_small_square,
◽,white medium-small square,white_medium_small_square,
▪️,black small square,black_small_square,
▫️,white small square,white_small_square,
🔶,large orange diamond,large_orange_diamond,
🔷,large blue diamond,large_blue_diamond,
🔸,small orange diamond,small_orange_diamond,
🔹,small blue diamond,small_blue_diamond,
🔺,red triangle pointed up,red_triangle_pointed_up,
🔻,red triangle pointed down,red_triangle_pointed_down,
💠,diamond with a dot,diamond_with_a_dot,
🔘,radio button,radio_button,
🔳,white square button,white_square_button,
🔲,black square button,black_square_button,
🏁,chequered flag,chequered_flag,
🚩,triangular flag,triangular_flag,
🎌,crossed flags,crossed_flags,
🏴,black flag,black_flag,
🏳️,white flag,white_flag,
🏳️‍🌈,rainbow flag,rainbow_flag,
🏳️‍⚧️,transgender flag,transgender_flag,
🏴‍☠️,pirate flag,pirate_flag,
🇦🇨,flag Ascension Island,flag_ascension_island,
🇦🇩,flag Andorra,flag_andorra,
🇦🇪,flag United Arab Emirates,flag_united_arab_emirates,
🇦🇫,flag Afghanistan,flag_afghanistan,
🇦🇬,flag Antigua & Barbuda,flag_antigua_barbuda,
🇦🇮,flag Anguilla,flag_anguilla,
🇦🇱,flag Albania,flag_albania,
🇦🇲,flag Armenia,flag_armenia,
🇦🇴,flag Angola,flag_angola,
🇦🇶,flag Antarctica,flag_antarctica,
🇦🇷,flag Argentina,flag_argentina,
🇦🇸,flag American Samoa,flag_american_samoa,
🇦🇹,flag Austria,flag_austria,
🇦🇺,flag Australia,flag_australia,
🇦🇼,flag Aruba,flag_aruba,
🇦🇽,flag Åland Islands,flag_aland_islands,
🇦🇿,flag Azerbaijan,flag_azerbaijan,
🇧🇦,flag Bosnia & Herzegovina,flag_bosnia_herzegovina,
🇧🇧,flag Barbados,flag_barbados,
🇧🇩,flag Bangladesh,flag_bangladesh,
🇧🇪,flag Belgium,flag_belgium,
🇧🇫,flag Burkina Faso,flag_burkina_faso,
🇧🇬,flag Bulgaria,flag_bulgaria,
🇧🇭,flag Bahrain,flag_bahrain,
🇧🇮,flag Burundi,flag_burundi,
🇧🇯,flag Benin,flag_benin,
🇧🇱,flag St. Barthélemy,flag_st_barthelemy,
🇧🇲,flag Bermuda,flag_bermuda,
🇧🇳,flag Brunei,flag_brunei,
🇧🇴,flag Bolivia,flag_bolivia,
🇧🇶,flag Caribbean Netherlands,flag_caribbean_netherlands,
🇧🇷,flag Brazil,flag_brazil,
🇧🇸,flag Bahamas,flag_bahamas,
🇧🇹,flag Bhutan,flag_bhutan,
🇧🇻,flag Bouvet Island,flag_bouvet_island,
🇧🇼,flag Botswana,flag_botswana,
🇧🇾,flag Belarus,flag_belarus,
🇧🇿,flag Belize,flag_belize,
🇨🇦,flag Canada,flag_canada,
🇨🇨,flag Cocos (Keeling) Islands,flag_cocos_islands,
🇨🇩,flag Congo - Kinshasa,flag_congo_kinshasa,
🇨🇫,flag Central African Republic,flag_central_african_republic,
🇨🇬,flag Congo - Brazzaville,flag_congo_brazzaville,
🇨🇭,flag Switzerland,flag_switzerland,
🇨🇮,flag Côte d’Ivoire,flag_cote_d_ivoire,
🇨🇰,flag Cook Islands,flag_cook_islands,
🇨🇱,flag Chile,flag_chile,
🇨🇲,flag Cameroon,flag_cameroon,
🇨🇳,flag China,flag_china,
🇨🇴,flag Colombia,flag_colombia,
🇨🇵,flag Clipperton Island,flag_clipperton_island,
🇨🇶,flag Sark,flag_sark,
🇨🇷,flag Costa Rica,flag_costa_rica,
🇨🇺,flag Cuba,flag_cuba,
🇨🇻,flag Cape Verde,flag_cape_verde,
🇨🇼,flag Curaçao,flag_curacao,
🇨🇽,flag Christmas Island,flag_christmas_island,
🇨🇾,flag Cyprus,flag_cyprus,
🇨🇿,flag Czechia,flag_czechia,
🇩🇪,flag Germany,flag_germany,
🇩🇬,flag Diego Garcia,flag_diego_garcia,
🇩🇯,flag Djibouti,flag_djibouti,
🇩🇰,flag Denmark,flag_denmark,
🇩🇲,flag Dominica,flag_dominica,
🇩🇴,flag Dominican Republic,flag_dominican_republic,
🇩🇿,flag Algeria,flag_algeria,
🇪🇦,flag Ceuta & Melilla,flag_ceuta_melilla,
🇪🇨,flag Ecuador,flag_ecuador,
🇪🇪,flag Estonia,flag_estonia,
🇪🇬,flag Egypt,flag_egypt,
🇪🇭,flag Western Sahara,flag_western_sahara,
🇪🇷,flag Eritrea,flag_eritrea,
🇪🇸,flag Spain,flag_spain,
🇪🇹,flag Ethiopia,flag_ethiopia,
🇪🇺,flag European Union,flag_european_union,
🇫🇮,flag Finland,flag_finland,
🇫🇯,flag Fiji,flag_fiji,
🇫🇰,flag Falkland Islands,flag_falkland_islands,
🇫🇲,flag Micronesia,flag_micronesia,
🇫🇴,flag Faroe Islands,flag_faroe_islands,
🇫🇷,flag France,flag_france,
🇬🇦,flag Gabon,flag_gabon,
🇬🇧,flag United Kingdom,flag_united_kingdom,
🇬🇩,flag Grenada,flag_grenada,
🇬🇪,flag Georgia,flag_georgia,
🇬🇫,flag French Guiana,flag_french_guiana,
🇬🇬,flag Guernsey,flag_guernsey,
🇬🇭,flag Ghana,flag_ghana,
🇬🇮,flag Gibraltar,flag_gibraltar,
🇬🇱,flag Greenland,flag_greenland,
🇬🇲,flag Gambia,flag_gambia,
🇬🇳,flag Guinea,flag_guinea,
🇬🇵,flag Guadeloupe,flag_guadeloupe,
🇬🇶,flag Equatorial Guinea,flag_equatorial_guinea,
🇬🇷,flag Greece,flag_greece,
🇬🇸,flag South Georgia & South Sandwich Islands,flag_south_georgia_south_sandwich_islands,
🇬🇹,flag Guatemala,flag_guatemala,
🇬🇺,flag Guam,flag_guam,
🇬🇼,flag Guinea-Bissau,flag_guinea_bissau,
🇬🇾,flag Guyana,flag_guyana,
🇭🇰,flag Hong Kong SAR China,flag_hong_kong_sar_china,
🇭🇲,flag Heard & McDonald Islands,flag_heard_mcdonald_islands,
🇭🇳,flag Honduras,flag_honduras,
🇭🇷,flag Croatia,flag_croatia,
🇭🇹,flag Haiti,flag_haiti,
🇭🇺,flag Hungary,flag_hungary,
🇮🇨,flag Canary Islands,flag_canary_islands,
🇮🇩,flag Indonesia,flag_indonesia,
🇮🇪,flag Ireland,flag_ireland,
🇮🇱,flag Israel,flag_israel,
🇮🇲,flag Isle of Man,flag_isle_of_man,
🇮🇳,flag India,flag_india,
🇮🇴,flag British Indian Ocean Territory,flag_british_indian_ocean_territory,
🇮🇶,flag Iraq,flag_iraq,
🇮🇷,flag Iran,flag_iran,
🇮🇸,flag Iceland,flag_iceland,
🇮🇹,flag Italy,flag_italy,
🇯🇪,flag Jersey,flag_jersey,
🇯🇲,flag Jamaica,flag_jamaica,
🇯🇴,flag Jordan,flag_jordan,
🇯🇵,flag Japan,flag_japan,
🇰🇪,flag Kenya,flag_kenya,
🇰🇬,flag Kyrgyzstan,flag_kyrgyzstan,
🇰🇭,flag Cambodia,flag_cambodia,
🇰🇮,flag Kiribati,flag_kiribati,
🇰🇲,flag Comoros,flag_comoros,
🇰🇳,flag St. Kitts & Nevis,flag_st_kitts_nevis,
🇰🇵,flag North Korea,flag_north_korea,
🇰🇷,flag South Korea,flag_south_korea,
🇰🇼,flag Kuwait,flag_kuwait,
🇰🇾,flag Cayman Islands,flag_cayman_islands,
🇰🇿,flag Kazakhstan,flag_kazakhstan,
🇱🇦,flag Laos,flag_laos,
🇱🇧,flag Lebanon,flag_lebanon,
🇱🇨,flag St. Lucia,flag_st_lucia,
🇱🇮,flag Liechtenstein,flag_liechtenstein,
🇱🇰,flag Sri Lanka,flag_sri_lanka,
🇱🇷,flag Liberia,flag_liberia,
🇱🇸,flag Lesotho,flag_lesotho,
🇱🇹,flag Lithuania,flag_lithuania,
🇱🇺,flag Luxembourg,flag_luxembourg,
🇱🇻,flag Latvia,flag_latvia,
🇱🇾,flag Libya,flag_libya,
🇲🇦,flag Morocco,flag_morocco,
🇲🇨,flag Monaco,flag_monaco,
🇲🇩,flag Moldova,flag_moldova,
🇲🇪,flag Montenegro,flag_montenegro,
🇲🇫,flag St. Martin,flag_st_martin,
🇲🇬,flag Madagascar,flag_madagascar,
🇲🇭,flag Marshall Islands,flag_marshall_islands,
🇲🇰,flag North Macedonia,flag_north_macedonia,
🇲🇱,flag Mali,flag_mali,
🇲🇲,flag Myanmar (Burma),flag_myanmar,
🇲🇳,flag Mongolia,flag_mongolia,
🇲🇴,flag Macao SAR China,flag_macao_sar_china,
🇲🇵,flag Northern Mariana Islands,flag_northern_mariana_islands,
🇲🇶,flag Martinique,flag_martinique,
🇲🇷,flag Mauritania,flag_mauritania,
🇲🇸,flag Montserrat,flag_montserrat,
🇲🇹,flag Malta,flag_malta,
🇲🇺,flag Mauritius,flag_mauritius,
🇲🇻,flag Maldives,flag_maldives,
🇲🇼,flag Malawi,flag_malawi,
🇲🇽,flag Mexico,flag_mexico,
🇲🇾,flag Malaysia,flag_malaysia,
🇲🇿,flag Mozambique,flag_mozambique,
🇳🇦,flag Namibia,flag_namibia,
🇳🇨,flag New Caledonia,flag_new_caledonia,
🇳🇪,flag Niger,flag_niger,
🇳🇫,flag Norfolk Island,flag_norfolk_island,
🇳🇬,flag Nigeria,flag_nigeria,
🇳🇮,flag Nicaragua,flag_nicaragua,
🇳🇱,flag Netherlands,flag_netherlands,
🇳🇴,flag Norway,flag_norway,
🇳🇵,flag Nepal,flag_nepal,
🇳🇷,flag Nauru,flag_nauru,
🇳🇺,flag Niue,flag_niue,
🇳🇿,flag New Zealand,flag_new_zealand,
🇴🇲,flag Oman,flag_oman,
🇵🇦,flag Panama,flag_panama,
🇵🇪,flag Peru,flag_peru,
🇵🇫,flag French Polynesia,flag_french_polynesia,
🇵🇬,flag Papua New Guinea,flag_papua_new_guinea,
🇵🇭,flag Philippines,flag_philippines,
🇵🇰,flag Pakistan,flag_pakistan,
🇵🇱,flag Poland,flag_poland,
🇵🇲,flag St. Pierre & Miquelon,flag_st_pierre_miquelon,
🇵🇳,flag Pitcairn Islands,flag_pitcairn_islands,
🇵🇷,flag Puerto Rico,flag_puerto_rico,
🇵🇸,flag Palestinian Territories,flag_palestinian_territories,
🇵🇹,flag Portugal,flag_portugal,
🇵🇼,flag Palau,flag_palau,
🇵🇾,flag Paraguay,flag_paraguay,
🇶🇦,flag Qatar,flag_qatar,
🇷🇪,flag Réunion,flag_reunion,
🇷🇴,flag Romania,flag_romania,
🇷🇸,flag Serbia,flag_serbia,
🇷🇺,flag Russia,flag_russia,
🇷🇼,flag Rwanda,flag_rwanda,
🇸🇦,flag Saudi Arabia,flag_saudi_arabia,
🇸🇧,flag Solomon Islands,flag_solomon_islands,
🇸🇨,flag Seychelles,flag_seychelles,
🇸🇩,flag Sudan,flag_sudan,
🇸🇪,flag Sweden,flag_sweden,
🇸🇬,flag Singapore,flag_singapore,
🇸🇭,flag St. Helena,flag_st_helena,
🇸🇮,flag Slovenia,flag_slovenia,
🇸🇯,flag Svalbard & Jan Mayen,flag_svalbard_jan_mayen,
🇸🇰,flag Slovakia,flag_slovakia,
🇸🇱,flag Sierra Leone,flag_sierra_leone,
🇸🇲,flag San Marino,flag_san_marino,
🇸🇳,flag Senegal,flag_senegal,
🇸🇴,flag Somalia,flag_somalia,
🇸🇷,flag Suriname,flag_suriname,
🇸🇸,flag South Sudan,flag_south_sudan,
🇸🇹,flag São Tomé & Príncipe,flag_sao_tome_principe,
🇸🇻,flag El Salvador,flag_el_salvador,
🇸🇽,flag Sint Maarten,flag_sint_maarten,
🇸🇾,flag Syria,flag_syria,
🇸🇿,flag Eswatini,flag_eswatini,
🇹🇦,flag Tristan da Cunha,flag_tristan_da_cunha,
🇹🇨,flag Turks & Caicos Islands,flag_turks_caicos_islands,
🇹🇩,flag Chad,flag_chad,
🇹🇫,flag French Southern Territories,flag_french_southern_territories,
🇹🇬,flag Togo,flag_togo,
🇹🇭,flag Thailand,flag_thailand,
🇹🇯,flag Tajikistan,flag_tajikistan,
🇹🇰,flag Tokelau,flag_tokelau,
🇹🇱,flag Timor-Leste,flag_timor_leste,
🇹🇲,flag Turkmenistan,flag_turkmenistan,
🇹🇳,flag Tunisia,flag_tunisia,
🇹🇴,flag Tonga,flag_tonga,
🇹🇷,flag Türkiye,flag_turkiye,
🇹🇹,flag Trinidad & Tobago,flag_trinidad_tobago,
🇹🇻,flag Tuvalu,flag_tuvalu,
🇹🇼,flag Taiwan,flag_taiwan,
🇹🇿,flag Tanzania,flag_tanzania,
🇺🇦,flag Ukraine,flag_ukraine,
🇺🇬,flag Uganda,flag_uganda,
🇺🇲,flag U.S. Outlying Islands,flag_u_s_outlying_islands,
🇺🇳,flag United Nations,flag_united_nations,
🇺🇸,flag United States,flag_united_states,
🇺🇾,flag Uruguay,flag_uruguay,
🇺🇿,flag Uzbekistan,flag_uzbekistan,
🇻🇦,flag Vatican City,flag_vatican_city,
🇻🇨,flag St. Vincent & Grenadines,flag_st_vincent_grenadines,
🇻🇪,flag Venezuela,flag_venezuela,
🇻🇬,flag British Virgin Islands,flag_british_virgin_islands,
🇻🇮,flag U.S. Virgin Islands,flag_u_s_virgin_islands,
🇻🇳,flag Vietnam,flag_vietnam,
🇻🇺,flag Vanuatu,flag_vanuatu,
🇼🇫,flag Wallis & Futuna,flag_wallis_futuna,
🇼🇸,flag Samoa,flag_samoa,
🇽🇰,flag Kosovo,flag_kosovo,
🇾🇪,flag Yemen,flag_yemen,
🇾🇹,flag Mayotte,flag_mayotte,
🇿🇦,flag South Africa,flag_south_africa,
🇿🇲,flag Zambia,flag_zambia,
🇿🇼,flag Zimbabwe,flag_zimbabwe,
🏴󠁧󠁢󠁥󠁮󠁧󠁿,flag England,flag_england,
🏴󠁧󠁢󠁳󠁣󠁴󠁿,flag Scotland,flag_scotland,
🏴󠁧󠁢󠁷󠁬󠁳󠁿,flag Wales,flag_wales,
